story,coin_fail,stock_fail,gambling_fail,over_consuming,real_estate_investment,job_problem,crime_damage,health_problem,family_problem,business_fail
"2017년, IT 회사에 다니면서 가상화폐 투자를 시작했어요. 처음에는 꽤 성공적이었지만, 2018년에 가상화폐 시장이 붕괴하면서 거의 모든 자산을 잃게 되었죠. 그 이후로 일을 계속하는 것도 힘들어졌고, 결국 회사를 그만두게 됐어요. 지금은 빚이 쌓이고 있고, 새 일자리도 구하지 못한 상태입니다. 이 상황에서 벗어날 방법이 없네요.",1,0,0,0,0,0,0,0,0.0,0
"친구가 코인 투자로 큰 돈을 벌었다는 얘기를 듣고 저도 적은 돈으로 시작했어요. 그런데 친구가 계속 성공하니까 저도 대출까지 받아가며 무리하게 큰 금액을 투자하게 되었죠. 하지만 시장이 하락하면서 한순간에 모든 걸 잃었어요. 이제는 빚을 갚을 길이 없고, 정말 절망스럽습니다.",1,0,0,0,0,0,0,0,0.0,0
"몇 년 전, 가상화폐에 대해 많은 이야기를 듣고 큰 수익을 기대하며 투자했습니다. 처음엔 적은 금액으로 시작했지만, 점점 더 많은 돈을 넣어야 한다는 생각에 여기저기 대출을 받으며 투자했어요. 그 와중에 생활비도 부족해져서 신용카드를 계속 쓰다 보니 빚은 더 늘어났습니다. 코인은 실패하고 과소비까지 겹치면서 더 이상 감당할 수 없는 빚이 쌓였습니다.",1,0,0,1,0,0,0,0,0.0,0
"처음에는 안정적인 종목에만 투자했지만, 점점 더 큰 수익을 기대하게 되면서 대출을 받아 레버리지 투자에 손을 대기 시작했어요. 마진콜이 오기 전까지는 어느 정도 수익을 냈지만, 갑작스러운 시장 하락으로 모든 자산을 잃게 되었고, 이제는 대출금을 갚을 방법이 막막합니다.",0,1,0,0,0,0,0,0,0.0,0
"바이오 관련 종목이 큰 수익을 낼 것이라는 기대로 투자했지만, 임상 3상 실패 소식이 전해지면서 주가가 급락했어요. 한순간에 자산의 절반 이상을 잃었고, 추가 매수를 고려했지만 결국 실패로 돌아갔습니다.",0,1,0,0,0,0,0,0,0.0,0
코로나19 이후 주식 시장이 한창 상승세일 때 투자하기 시작했어요. 하지만 갑작스러운 금리 인상 소식에 시장이 폭락하면서 많은 돈을 잃었습니다. 손절을 하지 못한 탓에 손실이 더 커졌어요.,0,1,0,0,0,0,0,0,0.0,0
"공매도가 활발한 종목에 투자했다가 공매도 세력의 공격에 휘말려 주가가 하락하기 시작했어요. 회복될 것이라는 기대에 버텼지만, 결국 주가는 회복되지 않고 모든 자산을 잃었습니다.",0,1,0,0,0,0,0,0,0.0,0
처음에는 장기투자를 목표로 우량주에 투자했어요. 그러나 시장의 변동성을 견디지 못하고 중간에 매도했다가 큰 손실을 입었어요. 장기투자를 제대로 하지 못한 것이 후회됩니다.,0,1,0,0,0,0,0,0,0.0,0
"최근 인기를 끌던 테마주에 모든 돈을 투자했어요. 일시적으로 주가가 상승했지만, 그 후 테마주 열기가 식으면서 급격하게 하락해 손실을 피할 수 없었습니다.",0,1,0,0,0,0,0,0,0.0,0
"신용거래를 통해 매수한 주식이 급등할 것으로 기대했지만, 예상과 달리 하락하면서 마진콜이 발생했어요. 빚을 지고 주식을 청산해야 하는 상황에 처하게 되었습니다.",0,1,0,0,0,0,0,0,0.0,0
"주가가 급등하던 종목에 뛰어들었어요. 하지만 그게 꼭지였는지, 고점에서 물리면서 주가는 계속 하락했고, 이제는 회복될 기미도 보이지 않아 손해가 막심합니다.",0,1,0,0,0,0,0,0,0.0,0
"신규 상장된 주식이 단기적으로 큰 수익을 줄 것이라고 믿고 투자했어요. 하지만 상장 직후 주가는 급락했고, 상장 전 기대와는 전혀 다른 결과로 손실을 입었습니다.",0,1,0,0,0,0,0,0,0.0,0
"가치투자가 안전하다고 생각해서 저평가된 주식에 투자했어요. 그러나 그 주식은 계속해서 하락세를 보였고, 결국 손절을 해야만 했습니다.",0,1,0,0,0,0,0,0,0.0,0
모멘텀 투자를 통해 단기적인 상승세에 올라타 큰 수익을 기대했어요. 하지만 예상보다 시장의 흐름이 너무 빨리 변동하여 손실을 피할 수 없었습니다.,0,1,0,0,0,0,0,0,0.0,0
"ETF가 비교적 안전한 투자라고 들어서 자금을 넣었어요. 하지만 제가 선택한 ETF는 지속적으로 하락하는 섹터에 집중된 것이었고, 결국 많은 손실을 입었습니다.",0,1,0,0,0,0,0,0,0.0,0
"대형주 대신 수익률이 더 높을 수 있다는 기대감에 중소형주에 투자했어요. 하지만 변동성이 너무 컸고, 결국 주가가 급락하면서 모든 돈을 잃게 되었습니다.",0,1,0,0,0,0,0,0,0.0,0
"유동성 위기로 인해 회사가 재정적으로 어려워지자 제가 투자한 주식도 급락했어요. 회사는 결국 파산했고, 투자금도 모두 날아갔습니다.",0,1,0,0,0,0,0,0,0.0,0
해외 주식에 투자하면 더 큰 수익을 낼 수 있을 것이라는 생각에 미국 기술주에 투자했어요. 하지만 환율 변동과 시장 하락으로 인해 손실이 커졌습니다.,0,1,0,0,0,0,0,0,0.0,0
"3년 전, 저는 퇴직금으로 주식을 시작했어요. 처음에는 소액으로 투자했지만, 계속 수익이 나자 더 큰 금액을 넣기로 결심했죠. 하지만, 어느 순간부터 주식 시장이 흔들리기 시작했어요. 한 종목에 모든 돈을 쏟아부었는데, 그 종목이 하락하면서 하루아침에 퇴직금을 거의 다 잃게 되었어요. 그때 손절할 기회가 있었는데, 아깝다는 생각에 버텼던 게 화근이었죠.",0,1,0,0,0,0,0,0,0.0,0
"친구가 주식 투자로 큰 돈을 벌었다는 이야기를 듣고 저도 관심을 가지게 되었어요. 하지만 저와는 달리 친구는 투자 경험이 많았고, 저는 단순히 그 말을 믿고 따라한 게 문제였어요. 결국 친구가 추천한 주식은 급격히 하락했고, 저는 손실을 피하지 못했어요. 그때 배운 건, 주식은 남을 믿고 따라하면 안 된다는 것이었어요.",0,1,0,0,0,0,0,0,0.0,0
"몇 년 전부터 저는 주식으로 재테크를 해야겠다고 결심하고 여러 종목에 투자했어요. 하지만 회사의 실적 발표가 예상보다 저조하자 주가가 급락했고, 저는 아무런 준비도 하지 못한 상태에서 큰 손실을 보게 되었어요. 회사의 상황을 제대로 분석하지 않은 제 잘못이라는 걸 그제서야 깨달았어요.",0,1,0,0,0,0,0,0,0.0,0
